SCHOOL_ID,SCHOOL_NAME,SCHOOL_ADDRESS,SCHOOL_CONTACT,SCHOOL_WEBSITE,SCHOOL_RATING,SCHOOL_CITY,School_Board,School_Lat,School_long,School_Photo
DE724,Delhi Public School R.K.Puram,"Delhi Public School, Kaifi Azmi Marg",+91 11 4911 5500,http://www.dpsrkp.net/,4.1,Delhi,CBSE,28.573066,77.176264,DE724.jpg
DE945,St. Xavier's Senior Secondary School,"4, Raj Niwas Marg",+91 11 2395 7778,http://www.stxaviersdelhi.com/,4.5,Delhi,CBSE,28.672705,77.223209,DE945.jpg
DE524,Carmel Convent School,Malcha Marg,+91 11 2687 1299,http://carmeldelhi.com/,4.4,Delhi,CBSE,28.610863,77.260008,DE524.jpg
DE1792,Sardar Patel Vidyalaya,Sardar Patel Vidyalaya,+91 11 2462 7344,http://spvdelhi.org/,4.6,Delhi,CBSE,28.597217,77.22686,DE1792.jpg
DE1793,Modern School,Barakhamba Rd,+91 11 2331 1618,http://www.modernschool.net/,4.4,Delhi,CBSE,28.628607,77.229359,DE1793.jpg
DE1330,Bal Bharati Public School Rajinder Nagar,"Ganga Ram Hospital Marg, Rajendra Nagar",+91 11 2578 2419,http://bbpsgr.balbharati.org/contact-us/,4,Delhi,CBSE,28.640362,77.190862,DE1330.png
DE1845,St. Columba's School,"1, Ashok Place, Near Gole Dakhana, Gole Market",+91 11 2336 3462,http://stcolumbas.edu.in/,4.7,Delhi,CBSE,28.629685,77.20649,DE1845.jpg
DE1621,Springdales School,"Benito Juarez Road, Dhaula Kuan",+91 11 2411 6657,http://springdales.com/,4.3,Delhi,CBSE,28.644505,77.196651,DE1621.jpg
DE1067,Bharti Public School,"Vikas Marg, Swasthya Vihar",+91 11 4244 0514,http://www.bps.edu.in/,4,Delhi,CBSE,28.639729,77.288782,DE1067.jpg
DE1109,"Sanskriti School, Chanakyapuri",Dr. S. Radhakrishnan Marg,+91 11 2688 3336,http://www.sanskritischool.edu.in/,4.5,Delhi,,28.589092,77.177255,DE1109.jpg
DE792,Delhi Public School Mathura Road,Mathura Rd,+91 11 4339 9200,http://www.dpsmathuraroad.org/,4.1,Delhi,CBSE,28.597453,77.242805,DE792.jpg
DE1052,Convent of Jesus & Mary,"1, Bangla Sahib Ln, Diz Staff Quarts, Connaught Place",+91 11 2336 6762,http://www.cjmdelhi.com/,4.2,Delhi,CBSE,28.629384,77.208327,DE1052.jpg
DE858,The British School,Dr Jose P Rizal Marg,+91 11 4066 4166,http://www.british-school.org/,4.1,Delhi,IGCSE,28.597658,77.18142,DE858.jpg
